Week,RoadID,Offset,MaxSpeed,MeanSpeed
1,105,1000,181,27.3
1,105,2000,90,34.24
1,105,3000,109,33.08
1,105,4000,160,46.42
1,105,5000,206,41.6
1,105,6000,142,38.24
1,105,7000,122,47.55
1,105,8000,101,50.62
1,105,9000,99,57.58
1,105,10000,131,66.74
1,105,11000,107,75.51
1,105,12000,112,80.21
1,105,13000,146,81.18
1,105,14000,192,81.52
1,105,15000,216,82.04
1,105,16000,142,81.84
1,105,17000,206,76.96
1,105,18000,142,65.96
1,106,1000,101,67.81
1,106,2000,105,77.68
1,106,3000,101,80.3
1,106,4000,95,37.14
1,106,5000,103,76.85
1,106,6000,184,78.75
1,106,7000,149,80.75
1,106,8000,203,77.91
2,13,1000,148,43.89
2,13,2000,223,42.02
2,13,3000,177,34.46
2,13,4000,233,21.63
2,13,5000,40,9.24
2,105,1000,105,22.95
2,105,2000,92,27.36
2,105,3000,96,27.85
2,105,4000,112,40.02
2,105,5000,169,37.21
2,105,6000,145,35.01
2,105,7000,107,45.84
2,105,8000,97,46.88
2,105,9000,140,54.69
2,105,10000,119,68.72
2,105,11000,135,76.69
2,105,12000,115,78.52
2,105,13000,107,80.27
2,105,14000,123,80.56
2,105,15000,105,81.25
2,105,16000,116,79.95
2,105,17000,110,75.68
2,105,18000,105,64.83
2,106,1000,134,67.15
2,106,2000,105,77.03
2,106,3000,100,77.97
2,106,4000,93,33.61
2,106,5000,130,75.94
2,106,6000,130,78.25
2,106,7000,134,79.85
2,106,8000,111,77.39
3,13,1000,95,46.96
3,13,2000,96,44.35
3,13,3000,90,34.46
3,13,4000,83,21.3
3,13,5000,53,11.19
3,105,1000,243,22.93
3,105,2000,228,29.72
3,105,3000,204,29.15
3,105,4000,235,40.74
3,105,5000,254,39.22
3,105,6000,221,36.72
3,105,7000,212,47.19
3,105,8000,106,47.69
3,105,9000,245,54.23
3,105,10000,99,69.86
3,105,11000,109,76.45
3,105,12000,241,77.58
3,105,13000,170,77.19
3,105,14000,223,76.4
3,105,15000,250,73.51
3,105,16000,214,70.63
3,105,17000,106,73.89
3,105,18000,253,63.91
3,106,1000,121,65.53
3,106,2000,136,76.21
3,106,3000,101,77.54
3,106,4000,95,33.94
3,106,5000,126,75.17
3,106,6000,247,77.54
3,106,7000,227,79.03
3,106,8000,237,77.04
4,13,1000,92,44.83
4,13,2000,97,41.7
4,13,3000,90,30.23
4,13,4000,84,25.01
4,13,5000,49,8.65
4,105,1000,232,25.64
4,105,2000,167,30.94
4,105,3000,204,28.06
4,105,4000,206,39.9
4,105,5000,206,39.04
4,105,6000,240,37.61
4,105,7000,99,46.0
4,105,8000,109,47.53
4,105,9000,114,54.7
4,105,10000,130,68.06
4,105,11000,110,74.94
4,105,12000,131,76.16
4,105,13000,149,77.53
4,105,14000,141,74.05
4,105,15000,132,75.24
4,105,16000,126,76.87
4,105,17000,118,73.26
4,105,18000,118,63.81
4,106,1000,98,67.21
4,106,2000,113,76.91
4,106,3000,99,76.54
4,106,4000,93,34.25
4,106,5000,103,74.47
4,106,6000,121,73.55
4,106,7000,147,78.5
4,106,8000,109,76.35
5,13,1000,91,47.38
5,13,2000,96,45.31
5,13,3000,91,32.32
5,13,4000,85,24.85
5,13,5000,44,8.18
5,105,1000,255,21.92
5,105,2000,174,28.88
5,105,3000,201,26.14
5,105,4000,248,38.52
5,105,5000,242,38.84
5,105,6000,213,35.17
5,105,7000,140,42.14
5,105,8000,166,44.09
5,105,9000,98,53.36
5,105,10000,108,69.26
5,105,11000,109,76.13
5,105,12000,108,77.01
5,105,13000,112,78.72
5,105,14000,127,76.48
5,105,15000,111,74.63
5,105,16000,109,73.51
5,105,17000,106,74.62
5,105,18000,109,63.95
5,106,1000,100,66.97
5,106,2000,109,77.09
5,106,3000,100,77.14
5,106,4000,92,33.61
5,106,5000,109,74.57
5,106,6000,104,77.3
5,106,7000,109,78.81
5,106,8000,109,76.47
6,13,1000,97,43.6
6,13,2000,97,41.11
6,13,3000,87,34.72
6,13,4000,100,24.74
6,13,5000,49,9.98
6,105,1000,80,22.12
6,105,2000,90,28.69
6,105,3000,120,24.3
6,105,4000,104,36.9
6,105,5000,196,35.06
6,105,6000,101,32.28
6,105,7000,112,38.14
6,105,8000,96,37.92
6,105,9000,101,48.27
6,105,10000,103,56.22
6,105,11000,114,65.76
6,105,12000,119,71.56
6,105,13000,115,77.39
6,105,14000,112,79.15
6,105,15000,121,79.99
6,105,16000,117,79.35
6,105,17000,109,73.82
6,105,18000,110,50.59
6,106,1000,119,66.5
6,106,2000,109,76.87
6,106,3000,99,73.5
6,106,4000,90,31.58
6,106,5000,107,73.99
6,106,6000,108,74.94
6,106,7000,111,72.32
6,106,8000,110,66.38
7,13,1000,92,52.84
7,13,2000,99,49.96
7,13,3000,101,42.15
7,13,4000,85,31.01
7,13,5000,58,13.51
7,105,1000,215,26.26
7,105,2000,95,33.98
7,105,3000,109,26.57
7,105,4000,187,44.03
7,105,5000,109,42.84
7,105,6000,109,42.82
7,105,7000,165,50.78
7,105,8000,97,48.18
7,105,9000,108,52.18
7,105,10000,110,60.89
7,105,11000,105,72.38
7,105,12000,107,78.15
7,105,13000,118,79.67
7,105,14000,116,80.42
7,105,15000,115,81.0
7,105,16000,112,80.3
7,105,17000,109,73.01
7,105,18000,109,59.18
7,106,1000,182,66.49
7,106,2000,132,75.19
7,106,3000,106,77.12
7,106,4000,101,37.39
7,106,5000,111,73.09
7,106,6000,111,69.69
7,106,7000,118,69.71
7,106,8000,113,64.86
8,13,1000,90,55.59
8,13,2000,97,52.95
8,13,3000,90,47.51
8,13,4000,86,32.44
8,13,5000,54,10.82
8,105,1000,84,28.52
8,105,2000,254,31.95
8,105,3000,97,30.92
8,105,4000,97,45.22
8,105,5000,96,43.51
8,105,6000,153,42.48
8,105,7000,206,51.59
8,105,8000,142,50.03
8,105,9000,208,59.04
8,105,10000,115,69.31
8,105,11000,109,76.72
8,105,12000,110,79.29
8,105,13000,112,80.71
8,105,14000,111,81.3
8,105,15000,126,81.68
8,105,16000,140,80.9
8,105,17000,126,75.85
8,105,18000,109,64.61
8,106,1000,236,67.86
8,106,2000,101,75.37
8,106,3000,99,77.63
8,106,4000,96,34.26
8,106,5000,106,76.02
8,106,6000,114,77.9
8,106,7000,120,79.83
8,106,8000,108,77.55
9,13,1000,96,44.34
9,13,2000,97,41.03
9,13,3000,84,31.55
9,13,4000,85,20.61
9,13,5000,38,10.83
9,105,1000,138,23.81
9,105,2000,93,28.25
9,105,3000,170,26.09
9,105,4000,99,38.44
9,105,5000,99,36.54
9,105,6000,157,33.54
9,105,7000,101,40.68
9,105,8000,97,43.22
9,105,9000,97,50.15
9,105,10000,109,64.49
9,105,11000,111,74.88
9,105,12000,111,76.74
9,105,13000,104,78.89
9,105,14000,116,79.67
9,105,15000,112,80.08
9,105,16000,116,79.66
9,105,17000,109,74.2
9,105,18000,102,62.53
9,106,1000,98,65.79
9,106,2000,103,75.46
9,106,3000,99,75.14
9,106,4000,203,37.35
9,106,5000,101,74.51
9,106,6000,107,77.35
9,106,7000,109,78.79
9,106,8000,105,74.15
